FB,Microsoft,Tesla
179.039993,85.230003,65.781998
176.960007,85.580002,68.206001
178.300003,85.349998,67.806
178.389999,84.690002,67.578003
180.179993,86.849998,68.690002
180.820007,86.379997,67.774002
179.509995,85.830002,66.220001
177.889999,85.519997,65.795998
177.449997,85.5,66.332001
177.199997,85.510002,65.040001
175.990005,85.400002,63.458
177.619995,85.709999,62.327999
177.919998,85.720001,63.071999
176.460007,85.540001,62.27
181.419998,85.949997,64.106003
184.669998,86.349998,63.450001
184.330002,87.110001,62.924
186.850006,88.190002,63.316002
188.279999,88.279999,67.281998
187.869995,88.220001,66.737999
187.839996,87.82,66.959999
187.770004,88.080002,67.589996
179.369995,89.599998,67.244003
178.389999,88.349998,68.012001
177.600006,90.139999,69.431999
179.800003,90.099998,68.914001
181.289993,90,70.003998
185.369995,91.610001,70.311996
189.350006,91.900002,70.557999
186.550003,91.82,69.178001
187.479996,92.330002,67.528
190,94.059998,68.57
185.979996,93.919998,69.905998
187.119995,92.739998,69.164001
186.889999,95.010002,70.862
193.089996,94.260002,69.849998
190.279999,91.779999,68.75
181.259995,88,66.625999
185.309998,91.330002,66.793999
180.179993,89.610001,69
171.580002,85.010002,63.046001
176.110001,88.18,62.084
176.410004,89.129997,63.146
173.149994,89.830002,64.732002
179.520004,90.809998,64.461998
179.960007,92.660004,66.814003
177.360001,92,67.098
176.009995,92.720001,66.954002
177.910004,91.489998,66.660004
178.990005,91.730003,69.234001
183.289993,94.059998,70.410004
184.929993,95.419998,71.484001
181.460007,94.199997,70.197998
178.320007,93.769997,68.612
175.940002,92.849998,66.185997
176.619995,93.050003,67.024002
180.399994,93.639999,66.669998
179.779999,93.32,65.639999
183.710007,93.860001,66.459999
182.339996,94.43,65.82
185.229996,96.540001,65.433998
184.759995,96.769997,69.101997
181.880005,94.410004,68.367996
184.190002,93.849998,65.325996
183.860001,94.18,65.120003
185.089996,94.599998,64.269997
172.559998,92.889999,62.712002
168.149994,93.129997,62.110001
169.389999,92.480003,63.306
164.889999,89.790001,61.82
159.389999,87.18,60.307999
160.059998,93.779999,60.835999
152.220001,89.470001,55.835999
153.029999,89.389999,51.556
159.789993,91.269997,53.226002
155.389999,88.519997,50.495998
156.110001,89.709999,53.506001
155.100006,92.330002,57.388
159.339996,92.379997,61.144001
157.199997,90.230003,59.860001
157.929993,90.769997,57.931999
165.039993,92.879997,60.939999
166.320007,91.860001,60.186001
163.869995,93.580002,58.816002
164.520004,93.080002,60.068001
164.830002,94.169998,58.242001
168.660004,96.07,57.537998
166.360001,96.440002,58.669998
168.100006,96.110001,60.015999
166.279999,95,58.048
165.839996,95.349998,56.674
159.690002,93.120003,56.692001
159.690002,92.309998,56.138
174.160004,94.260002,57.096001
173.589996,95.82,58.816002
172,93.519997,58.779999
173.860001,95,59.984001
176.070007,93.510002,60.23
174.020004,94.07,56.889999
176.610001,95.160004,58.818001
177.970001,96.220001,60.554001
178.919998,95.809998,60.394001
182.660004,96.940002,61.369999
185.529999,97.910004,61.004002
186.990005,97.699997,60.212002
186.639999,98.029999,58.394001
184.320007,97.32,56.835999
183.199997,97.150002,57.296001
183.759995,96.18,56.908001
182.679993,96.360001,55.363998
184.490005,97.599998,56.897999
183.800003,97.5,55.001999
186.899994,98.660004,55.813999
185.929993,98.309998,55.57
184.919998,98.360001,55.77
185.740005,98.010002,56.751999
187.669998,98.949997,58.344002
191.779999,98.839996,56.945999
193.990005,100.790001,58.363998
193.279999,101.669998,59.348
192.940002,102.190002,58.226002
191.339996,102.489998,63.900002
188.179993,100.879997,63.217999
189.100006,101.629997,63.532001
191.539993,101.050003,66.419998
192.399994,101.309998,68.554001
192.410004,100.849998,68.956001
196.809998,101.419998,71.543999
195.850006,100.129997,71.634003
198.309998,100.860001,74.166
197.490005,100.860001,70.510002
202,101.870003,72.444
201.5,101.139999,69.501999
201.740005,100.410004,66.725998
196.350006,98.389999,66.601997
199,99.080002,68.400002
195.839996,97.540001,68.900002
196.229996,98.629997,69.986
194.320007,98.610001,68.589996
197.360001,100.010002,67.014
192.729996,99.050003,62.172001
198.449997,99.760002,61.832001
203.229996,101.160004,61.779999
204.740005,101.849998,63.702
203.539993,102.120003,64.494003
202.539993,101.980003,63.792
206.919998,104.190002,63.341999
207.320007,105.43,63.773998
207.229996,104.910004,62.02
209.990005,105.949997,64.538002
209.360001,105.120003,64.769997
208.089996,104.400002,64.045998
209.940002,106.269997,62.716
210.910004,107.970001,60.639999
214.669998,107.660004,59.486
217.5,110.830002,61.748001
176.259995,109.620003,61.330002
174.889999,107.68,59.436001
171.059998,105.370003,58.034
172.580002,106.080002,59.627998
171.649994,106.279999,60.167999
176.369995,107.57,69.907997
177.779999,108.040001,69.634003
185.690002,108.129997,68.398003
183.809998,108.879997,75.914001
185.179993,109.489998,74.068001
183.089996,109.669998,70.489998
180.259995,109,71.098
180.050003,108.209999,71.281998
181.110001,109.559998,69.528
179.529999,107.660004,67.737999
174.699997,107.639999,67.089996
173.800003,107.580002,61.099998
172.5,106.870003,61.688
172.619995,105.980003,64.379997
173.639999,107.059998,64.328003
172.899994,107.559998,64.019997
174.649994,108.400002,64.564003
177.460007,109.599998,63.854
176.259995,110.260002,62.372002
175.899994,112.019997,61.001999
177.639999,111.949997,60.630001
175.729996,112.330002,60.332001
171.160004,111.709999,57.790001
167.179993,108.489998,56.147999
162.529999,108.739998,56.189999
163.039993,108.209999,52.647999
164.179993,109.379997,57.099998
165.940002,111.239998,55.888
162,111.709999,58.108002
161.360001,112.910004,57.891998
162.320007,113.370003,59.040001
160.580002,112.139999,58.967999
160.300003,113.209999,56.992001
163.059998,111.699997,59.804001
166.020004,113.57,59.666
162.929993,114.260002,59.82
165.410004,114.669998,59.936001
164.910004,114.449997,60.198002
166.949997,113.980003,61.916
168.839996,114.410004,61.504002
164.460007,114.370003,52.953999
162.440002,115.610001,62.139999
159.330002,115.150002,60.203999
162.429993,115.169998,58.959999
158.850006,112.790001,56.366001
157.330002,112.129997,52.389999
157.25,110.849998,50.112
157.899994,112.260002,52.560001
151.380005,106.160004,51.375999
153.350006,105.910004,50.445999
153.740005,109.57,51.756001
153.520004,107.599998,51.917999
158.779999,111,55.318001
159.419998,110.709999,54.355999
154.919998,108.5,52.782001
154.050003,108.660004,52
154.779999,109.629997,52.189999
154.389999,108.099998,58.827999
146.039993,102.32,57.700001
150.949997,108.300003,62.972
145.369995,106.959999,66.18
142.089996,103.849998,66.970001
146.220001,103.730003,65.980003
151.789993,106.809998,67.463997
151.75,105.919998,68.856003
150.350006,106.160004,69.281998
148.679993,107.510002,68.279999
149.940002,107.720001,68.211998
151.529999,111.959999,69.632004
147.869995,111.75,70.279999
144.960007,109.57,70.101997
141.550003,106.870003,66.255997
142.160004,106.940002,67.746002
144.220001,104.970001,68.800003
143.850006,107.279999,69.688004
139.529999,108.290001,70.862
131.550003,104.620003,70.694
132.429993,101.709999,69.498001
134.820007,103.110001,67.638
131.729996,103.07,65.166
136.380005,106.470001,69.199997
135,107.139999,68.783997
136.759995,111.120003,69.573997
138.679993,110.190002,68.234001
140.610001,110.889999,70.096001
141.089996,112.089996,71.697998
137.929993,108.519997,71.940002
139.630005,109.190002,72.612
137.419998,104.82,71.594002
141.850006,107.589996,73.029999
142.080002,108.589996,73.351997
144.5,109.080002,73.32
145.009995,109.449997,75.358002
144.059998,106.029999,73.141998
140.190002,102.889999,69.683998
143.660004,103.970001,67.405998
133.240005,103.690002,66.594002
133.399994,101.510002,63.076
124.949997,98.230003,63.953999
124.059998,94.129997,59.077999
134.179993,100.559998,65.218002
134.520004,101.18,63.226002
133.199997,100.389999,66.774002
131.089996,101.57,66.559998
135.679993,101.120003,62.023998
131.740005,97.400002,60.071999
137.949997,101.93,63.537998
138.050003,102.059998,66.991997
142.529999,102.800003,67.07
144.229996,104.269997,67.706001
144.199997,103.599998,68.994003
143.800003,102.800003,69.452003
145.389999,102.050003,66.879997
148.949997,105.010002,68.886002
147.539993,105.379997,69.209999
148.300003,106.120003,69.461998
150.039993,107.709999,60.452
147.570007,105.68,59.784
144.300003,106.709999,57.518002
145.830002,106.199997,58.301998
149.009995,107.169998,59.408001
147.470001,105.080002,59.276001
144.190002,102.940002,59.492001
150.419998,106.379997,61.754002
166.690002,104.43,61.403999
165.710007,102.779999,62.442001
169.25,105.739998,62.577999
171.160004,107.220001,64.269997
170.490005,106.029999,63.444
166.380005,105.269997,61.501999
167.330002,105.669998,61.16
165.789993,105.25,62.568001
165.039993,106.889999,62.362
164.070007,106.809998,61.633999
163.949997,106.900002,60.754002
162.5,108.220001,61.576
162.289993,108.169998,61.127998
162.559998,107.150002,60.512001
160.039993,109.410004,58.245998
161.889999,110.970001,58.942001
164.619995,111.589996,59.754002
164.130005,112.360001,59.571999
162.809998,112.169998,62.948002
161.449997,112.029999,63.976002
162.279999,112.529999,58.958
167.369995,112.260002,57.071999
171.259995,111.699997,55.307999
172.509995,111.75,55.248001
169.130005,110.389999,55.318001
169.600006,110.510002,56.827999
172.070007,112.830002,58.183998
171.919998,113.620003,56.672001
173.369995,114.5,57.792
170.169998,114.589996,57.992001
165.979996,115.910004,55.085999
160.470001,117.57,53.897999
161.570007,117.650002,53.493999
165.440002,117.519997,54.720001
166.080002,120.220001,54.804001
164.339996,117.050003,52.905998
166.289993,117.660004,52.084
167.679993,117.910004,53.554001
165.869995,116.769997,54.966
165.550003,116.93,55.723999
166.690002,117.940002,55.972
168.699997,119.019997,57.835999
174.199997,119.190002,57.175999
173.539993,119.970001,58.362
176.020004,119.360001,53.556
175.720001,119.889999,54.992001
174.929993,119.93,54.639999
177.580002,119.279999,54.462002
177.820007,120.190002,55.212002
177.509995,120.330002,53.683998
179.100006,120.949997,53.540001
179.649994,121.050003,53.276001
178.869995,120.769997,54.672001
178.779999,121.769997,54.245998
178.279999,123.370003,54.652
181.440002,123.760002,52.549999
183.779999,125.440002,52.779999
182.580002,125.010002,51.731998
193.259995,129.149994,49.526001
191.490005,129.889999,47.028
194.779999,129.770004,48.293999
193.399994,130.600006,47.737999
193.029999,127.879997,46.801998
192.529999,126.209999,48.82
195.470001,128.899994,51.006001
193.880005,128.149994,51.068001
189.770004,125.519997,49.411999
189.539993,125.510002,48.967999
188.649994,125.5,48.396
188.339996,127.129997,47.903999
181.539993,123.349998,45.402
180.729996,124.730003,46.462002
186.270004,126.019997,46.389999
186.990005,128.929993,45.666
185.300003,128.070007,42.206001
182.720001,126.220001,41.071999
184.820007,126.900002,41.015999
185.320007,127.669998,38.546001
180.869995,126.18,39.098
181.059998,126.239998,38.125999
184.309998,126.160004,37.740002
182.190002,124.940002,37.972
183.009995,125.730003,37.644001
177.470001,123.68,37.032001
164.149994,119.839996,35.793999
167.5,123.160004,38.720001
168.169998,125.830002,39.318001
168.330002,127.82,41.189999
173.350006,131.399994,40.900002
174.820007,132.600006,42.576
178.100006,132.100006,43.419998
175.039993,131.490005,41.852001
177.470001,132.320007,42.782001
181.330002,132.449997,42.984001
189.009995,132.850006,45.006001
188.470001,135.160004,44.948002
187.479996,135.690002,45.285999
189.529999,136.949997,43.924
191.139999,136.970001,44.372002
192.600006,137.779999,44.728001
188.839996,133.429993,43.952
187.660004,133.929993,43.854
189.5,134.149994,44.568001
193,133.960007,44.692001
193,135.679993,45.433998
195,136.580002,44.91
197.199997,137.460007,46.98
196.399994,137.059998,46.619999
195.759995,136.960007,46.068001
199.210007,136.460007,46.012001
202.729996,137.850006,47.784
201.229996,138.399994,47.720001
204.869995,138.899994,49.015999
203.910004,138.899994,50.700001
203.839996,137.080002,50.476002
201.800003,136.270004,50.972
200.779999,136.419998,50.708
198.360001,136.619995,51.636002
202.320007,138.429993,51.136002
202.360001,139.289993,52.034
204.660004,140.720001,52.976002
200.710007,140.190002,45.764
199.75,141.339996,45.608002
195.940002,141.029999,47.153999
197.039993,140.350006,48.452
194.229996,136.270004,48.321999
192.729996,138.059998,46.77
189.020004,136.899994,46.868
181.729996,132.210007,45.664001
184.509995,134.690002,46.150002
185.149994,135.279999,46.683998
190.160004,138.889999,47.66
187.850006,137.710007,47.001999
185.369995,135.789993,45.801998
188.449997,138.600006,47
179.710007,133.979996,43.924
182.589996,133.679993,43.127998
183.699997,136.130005,43.987999
186.169998,138.410004,45.366001
183.809998,137.259995,45.172001
183.550003,138.789993,44.166
182.039993,137.779999,44.43
177.75,133.389999,42.279999
180.360001,135.449997,43
181.300003,135.740005,42.816002
181.759995,135.559998,43.118
185.570007,138.119995,44.341999
185.669998,137.860001,45.122002
182.389999,136.039993,45.001999
187.139999,137.630005,44.136002
190.899994,140.050003,45.916
187.490005,139.100006,45.490002
188.759995,137.520004,46.358002
186.169998,136.080002,47.108002
188.490005,136.119995,49.419998
187.470001,137.520004,49.174
187.190002,137.320007,49.040001
186.220001,136.330002,48.562
188.080002,137.389999,48.958
188.139999,138.520004,48.698002
190.139999,141.070007,49.32
189.929993,139.440002,48.124001
186.820007,139.139999,48.245998
181.279999,137.380005,44.641998
182.800003,139.360001,45.740002
180.110001,139.539993,48.512001
177.100006,137.729996,48.425999
178.080002,139.029999,48.174
175.809998,137.070007,48.938
174.600006,134.649994,48.625999
179.380005,136.279999,46.605999
180.449997,138.119995,46.285999
179.679993,137.119995,47.543999
177.75,135.669998,48.009998
179.850006,138.240005,48.905998
180.029999,139.100006,48.948002
184.190002,139.679993,49.577999
183.279999,139.550003,51.391998
188.889999,141.570007,51.577999
189.550003,140.410004,51.950001
190.389999,139.690002,52.394001
185.850006,137.410004,51.389999
189.759995,138.429993,50.700001
182.339996,136.369995,51.116001
186.149994,137.240005,50.936001
186.380005,139.940002,59.936001
187.889999,140.729996,65.625999
189.399994,144.190002,65.542
189.309998,142.830002,63.243999
188.25,144.610001,63.001999
191.649994,143.369995,62.984001
193.619995,143.720001,62.661999
194.720001,144.550003,63.493999
194.320007,144.460007,63.444
191.550003,144.059998,65.316002
190.419998,144.259995,67.108002
190.839996,145.960007,67.428001
189.610001,146.110001,69.017998
194.470001,147.070007,69.986
193.190002,147.309998,69.222
193.149994,148.059998,69.870003
195.100006,149.970001,70.433998
197.399994,150.339996,69.998001
199.320007,150.389999,71.903999
197.509995,149.619995,70.444
197.929993,149.479996,70.966003
198.820007,149.589996,66.608002
199.789993,151.229996,67.267998
198.970001,152.029999,65.783997
202,152.320007,66.258003
201.639999,151.380005,65.987999
199.699997,149.550003,66.973999
198.820007,149.309998,67.239998
198.710007,149.850006,66.606003
